"TIME","GEO","NRG_BAL","SIEC","UNIT","Value"
"2012","European Union - 27 countries (from 2020)","Inland consumption - calculated","Geothermal","Terajoule","239,061.628"
"2012","European Union - 27 countries (from 2020)","Inland consumption - calculated","Solar thermal","Terajoule","136,270.814"
"2012","European Union - 27 countries (from 2020)","Inland consumption - calculated","Primary solid biofuels","Terajoule","3,834,244.741"
"2012","European Union - 27 countries (from 2020)","Inland consumption - calculated","Biogases","Terajoule","431,304.697"
"2012","European Union - 27 countries (from 2020)","Inland consumption - calculated","Renewable municipal waste","Terajoule","335,715.436"
"2012","Euro area - 19 countries  (from 2015)","Inland consumption - calculated","Geothermal","Terajoule","230,957.628"
"2012","Euro area - 19 countries  (from 2015)","Inland consumption - calculated","Solar thermal","Terajoule","132,475.693"
"2012","Euro area - 19 countries  (from 2015)","Inland consumption - calculated","Primary solid biofuels","Terajoule","2,588,128.354"
"2012","Euro area - 19 countries  (from 2015)","Inland consumption - calculated","Biogases","Terajoule","395,026.550"
"2012","Euro area - 19 countries  (from 2015)","Inland consumption - calculated","Renewable municipal waste","Terajoule","276,091.436"
"2012","Belgium","Inland consumption - calculated","Geothermal","Terajoule","101.000"
"2012","Belgium","Inland consumption - calculated","Solar thermal","Terajoule","607.900"
"2012","Belgium","Inland consumption - calculated","Primary solid biofuels","Terajoule","82,408.700"
"2012","Belgium","Inland consumption - calculated","Biogases","Terajoule","6,809.100"
"2012","Belgium","Inland consumption - calculated","Renewable municipal waste","Terajoule","14,737.500"
"2012","Bulgaria","Inland consumption - calculated","Geothermal","Terajoule","1,400.000"
"2012","Bulgaria","Inland consumption - calculated","Solar thermal","Terajoule","645.000"
"2012","Bulgaria","Inland consumption - calculated","Primary solid biofuels","Terajoule","42,791.000"
"2012","Bulgaria","Inland consumption - calculated","Biogases","Terajoule","5.000"
"2012","Bulgaria","Inland consumption - calculated","Renewable municipal waste","Terajoule","79.000"
"2012","Czechia","Inland consumption - calculated","Geothermal","Terajoule","0.000"
"2012","Czechia","Inland consumption - calculated","Solar thermal","Terajoule","526.021"
"2012","Czechia","Inland consumption - calculated","Primary solid biofuels","Terajoule","106,219.000"
"2012","Czechia","Inland consumption - calculated","Biogases","Terajoule","15,698.000"
"2012","Czechia","Inland consumption - calculated","Renewable municipal waste","Terajoule","3,504.000"
"2012","Denmark","Inland consumption - calculated","Geothermal","Terajoule","288.000"
"2012","Denmark","Inland consumption - calculated","Solar thermal","Terajoule","880.100"
"2012","Denmark","Inland consumption - calculated","Primary solid biofuels","Terajoule","100,475.387"
"2012","Denmark","Inland consumption - calculated","Biogases","Terajoule","4,399.147"
"2012","Denmark","Inland consumption - calculated","Renewable municipal waste","Terajoule","20,540.000"
"2012","Germany (until 1990 former territory of the FRG)","Inland consumption - calculated","Geothermal","Terajoule","3,895.000"
"2012","Germany (until 1990 former territory of the FRG)","Inland consumption - calculated","Solar thermal","Terajoule","23,902.000"
