TIME,GEO,NRG_BAL,SIEC,UNIT,Value
2012,European Union - 27 countries (from 2020),Inland consumption - calculated,Geothermal,Terajoule,239061.6
2012,European Union - 27 countries (from 2020),Inland consumption - calculated,Solar thermal,Terajoule,136270.8
2012,European Union - 27 countries (from 2020),Inland consumption - calculated,Primary solid biofuels,Terajoule,3834244.7
2012,European Union - 27 countries (from 2020),Inland consumption - calculated,Biogases,Terajoule,431304.7
2012,European Union - 27 countries (from 2020),Inland consumption - calculated,Renewable municipal waste,Terajoule,335715.4
2012,Euro area - 19 countries  (from 2015),Inland consumption - calculated,Geothermal,Terajoule,230957.6
2012,Euro area - 19 countries  (from 2015),Inland consumption - calculated,Solar thermal,Terajoule,132475.7
2012,Euro area - 19 countries  (from 2015),Inland consumption - calculated,Primary solid biofuels,Terajoule,2588128.4
2012,Euro area - 19 countries  (from 2015),Inland consumption - calculated,Biogases,Terajoule,395026.6
2012,Euro area - 19 countries  (from 2015),Inland consumption - calculated,Renewable municipal waste,Terajoule,276091.4
2012,Belgium,Inland consumption - calculated,Geothermal,Terajoule,101
2012,Belgium,Inland consumption - calculated,Solar thermal,Terajoule,607.9
2012,Belgium,Inland consumption - calculated,Primary solid biofuels,Terajoule,82408.7
2012,Belgium,Inland consumption - calculated,Biogases,Terajoule,6809.1
2012,Belgium,Inland consumption - calculated,Renewable municipal waste,Terajoule,14737.5
2012,Bulgaria,Inland consumption - calculated,Geothermal,Terajoule,1400
2012,Bulgaria,Inland consumption - calculated,Solar thermal,Terajoule,645
2012,Bulgaria,Inland consumption - calculated,Primary solid biofuels,Terajoule,42791
2012,Bulgaria,Inland consumption - calculated,Biogases,Terajoule,5
2012,Bulgaria,Inland consumption - calculated,Renewable municipal waste,Terajoule,79
2012,Czechia,Inland consumption - calculated,Geothermal,Terajoule,0
2012,Czechia,Inland consumption - calculated,Solar thermal,Terajoule,526
2012,Czechia,Inland consumption - calculated,Primary solid biofuels,Terajoule,106219
2012,Czechia,Inland consumption - calculated,Biogases,Terajoule,15698
2012,Czechia,Inland consumption - calculated,Renewable municipal waste,Terajoule,3504
2012,Denmark,Inland consumption - calculated,Geothermal,Terajoule,288
2012,Denmark,Inland consumption - calculated,Solar thermal,Terajoule,880.1
2012,Denmark,Inland consumption - calculated,Primary solid biofuels,Terajoule,100475.4
2012,Denmark,Inland consumption - calculated,Biogases,Terajoule,4399.2
2012,Denmark,Inland consumption - calculated,Renewable municipal waste,Terajoule,20540
2012,Germany,Inland consumption - calculated,Geothermal,Terajoule,3895
2012,Germany,Inland consumption - calculated,Solar thermal,Terajoule,23902
2012,Germany,Inland consumption - calculated,Primary solid biofuels,Terajoule,598166
2012,Germany,Inland consumption - calculated,Biogases,Terajoule,266005
2012,Germany,Inland consumption - calculated,Renewable municipal waste,Terajoule,108688
2012,Estonia,Inland consumption - calculated,Geothermal,Terajoule,0
2012,Estonia,Inland consumption - calculated,Solar thermal,Terajoule,0
2012,Estonia,Inland consumption - calculated,Primary solid biofuels,Terajoule,34072
2012,Estonia,Inland consumption - calculated,Biogases,Terajoule,122
2012,Estonia,Inland consumption - calculated,Renewable municipal waste,Terajoule,0
2012,Ireland,Inland consumption - calculated,Geothermal,Terajoule,0
2012,Ireland,Inland consumption - calculated,Solar thermal,Terajoule,392.3
2012,Ireland,Inland consumption - calculated,Primary solid biofuels,Terajoule,8159.6
2012,Ireland,Inland consumption - calculated,Biogases,Terajoule,2341
2012,Ireland,Inland consumption - calculated,Renewable municipal waste,Terajoule,1857.7
2012,Greece,Inland consumption - calculated,Geothermal,Terajoule,547.3
2012,Greece,Inland consumption - calculated,Solar thermal,Terajoule,10194
2012,Greece,Inland consumption - calculated,Primary solid biofuels,Terajoule,47556
2012,Greece,Inland consumption - calculated,Biogases,Terajoule,3710
2012,Greece,Inland consumption - calculated,Renewable municipal waste,Terajoule,0
2012,Spain,Inland consumption - calculated,Geothermal,Terajoule,8.1
2012,Spain,Inland consumption - calculated,Solar thermal,Terajoule,70477.8
2012,Spain,Inland consumption - calculated,Primary solid biofuels,Terajoule,213321
2012,Spain,Inland consumption - calculated,Biogases,Terajoule,12179
2012,Spain,Inland consumption - calculated,Renewable municipal waste,Terajoule,7355
2012,France,Inland consumption - calculated,Geothermal,Terajoule,10126.3
2012,France,Inland consumption - calculated,Solar thermal,Terajoule,5646.8
2012,France,Inland consumption - calculated,Primary solid biofuels,Terajoule,398121.5
2012,France,Inland consumption - calculated,Biogases,Terajoule,21024.1
2012,France,Inland consumption - calculated,Renewable municipal waste,Terajoule,50864.8
2012,Croatia,Inland consumption - calculated,Geothermal,Terajoule,291
2012,Croatia,Inland consumption - calculated,Solar thermal,Terajoule,299
2012,Croatia,Inland consumption - calculated,Primary solid biofuels,Terajoule,52010
2012,Croatia,Inland consumption - calculated,Biogases,Terajoule,479
2012,Croatia,Inland consumption - calculated,Renewable municipal waste,Terajoule,0
2012,Italy,Inland consumption - calculated,Geothermal,Terajoule,207551
2012,Italy,Inland consumption - calculated,Solar thermal,Terajoule,6504
2012,Italy,Inland consumption - calculated,Primary solid biofuels,Terajoule,351602
2012,Italy,Inland consumption - calculated,Biogases,Terajoule,49352
2012,Italy,Inland consumption - calculated,Renewable municipal waste,Terajoule,33780
2012,Cyprus,Inland consumption - calculated,Geothermal,Terajoule,0
2012,Cyprus,Inland consumption - calculated,Solar thermal,Terajoule,2700
2012,Cyprus,Inland consumption - calculated,Primary solid biofuels,Terajoule,546
2012,Cyprus,Inland consumption - calculated,Biogases,Terajoule,476
2012,Cyprus,Inland consumption - calculated,Renewable municipal waste,Terajoule,88
2012,Latvia,Inland consumption - calculated,Geothermal,Terajoule,0
2012,Latvia,Inland consumption - calculated,Solar thermal,Terajoule,0
2012,Latvia,Inland consumption - calculated,Primary solid biofuels,Terajoule,52541
2012,Latvia,Inland consumption - calculated,Biogases,Terajoule,2175
2012,Latvia,Inland consumption - calculated,Renewable municipal waste,Terajoule,0
2012,Lithuania,Inland consumption - calculated,Geothermal,Terajoule,158
2012,Lithuania,Inland consumption - calculated,Solar thermal,Terajoule,0
2012,Lithuania,Inland consumption - calculated,Primary solid biofuels,Terajoule,41973
2012,Lithuania,Inland consumption - calculated,Biogases,Terajoule,484
2012,Lithuania,Inland consumption - calculated,Renewable municipal waste,Terajoule,0
2012,Luxembourg,Inland consumption - calculated,Geothermal,Terajoule,0
2012,Luxembourg,Inland consumption - calculated,Solar thermal,Terajoule,57.1
2012,Luxembourg,Inland consumption - calculated,Primary solid biofuels,Terajoule,1806.9
2012,Luxembourg,Inland consumption - calculated,Biogases,Terajoule,657.8
2012,Luxembourg,Inland consumption - calculated,Renewable municipal waste,Terajoule,454.7
2012,Hungary,Inland consumption - calculated,Geothermal,Terajoule,4490
2012,Hungary,Inland consumption - calculated,Solar thermal,Terajoule,357
2012,Hungary,Inland consumption - calculated,Primary solid biofuels,Terajoule,104595
2012,Hungary,Inland consumption - calculated,Biogases,Terajoule,2218
2012,Hungary,Inland consumption - calculated,Renewable municipal waste,Terajoule,1921
2012,Malta,Inland consumption - calculated,Geothermal,Terajoule,0
2012,Malta,Inland consumption - calculated,Solar thermal,Terajoule,173.6
2012,Malta,Inland consumption - calculated,Primary solid biofuels,Terajoule,40
2012,Malta,Inland consumption - calculated,Biogases,Terajoule,93
2012,Malta,Inland consumption - calculated,Renewable municipal waste,Terajoule,0
2012,Netherlands,Inland consumption - calculated,Geothermal,Terajoule,495
2012,Netherlands,Inland consumption - calculated,Solar thermal,Terajoule,1070
2012,Netherlands,Inland consumption - calculated,Primary solid biofuels,Terajoule,61149
2012,Netherlands,Inland consumption - calculated,Biogases,Terajoule,12165
2012,Netherlands,Inland consumption - calculated,Renewable municipal waste,Terajoule,39794
2012,Austria,Inland consumption - calculated,Geothermal,Terajoule,1526
2012,Austria,Inland consumption - calculated,Solar thermal,Terajoule,7249.2
2012,Austria,Inland consumption - calculated,Primary solid biofuels,Terajoule,208862.7
2012,Austria,Inland consumption - calculated,Biogases,Terajoule,8434.6
2012,Austria,Inland consumption - calculated,Renewable municipal waste,Terajoule,6015.7
2012,Poland,Inland consumption - calculated,Geothermal,Terajoule,661
2012,Poland,Inland consumption - calculated,Solar thermal,Terajoule,620
2012,Poland,Inland consumption - calculated,Primary solid biofuels,Terajoule,292562
2012,Poland,Inland consumption - calculated,Biogases,Terajoule,7033
2012,Poland,Inland consumption - calculated,Renewable municipal waste,Terajoule,1360
2012,Portugal,Inland consumption - calculated,Geothermal,Terajoule,5652
2012,Portugal,Inland consumption - calculated,Solar thermal,Terajoule,2820
2012,Portugal,Inland consumption - calculated,Primary solid biofuels,Terajoule,95990
2012,Portugal,Inland consumption - calculated,Biogases,Terajoule,2383
2012,Portugal,Inland consumption - calculated,Renewable municipal waste,Terajoule,3599
2012,Romania,Inland consumption - calculated,Geothermal,Terajoule,974
2012,Romania,Inland consumption - calculated,Solar thermal,Terajoule,4
2012,Romania,Inland consumption - calculated,Primary solid biofuels,Terajoule,153009
2012,Romania,Inland consumption - calculated,Biogases,Terajoule,1143
2012,Romania,Inland consumption - calculated,Renewable municipal waste,Terajoule,1
2012,Slovenia,Inland consumption - calculated,Geothermal,Terajoule,653
2012,Slovenia,Inland consumption - calculated,Solar thermal,Terajoule,410
2012,Slovenia,Inland consumption - calculated,Primary solid biofuels,Terajoule,26534
2012,Slovenia,Inland consumption - calculated,Biogases,Terajoule,1597
2012,Slovenia,Inland consumption - calculated,Renewable municipal waste,Terajoule,0
2012,Slovakia,Inland consumption - calculated,Geothermal,Terajoule,245
2012,Slovakia,Inland consumption - calculated,Solar thermal,Terajoule,224
2012,Slovakia,Inland consumption - calculated,Primary solid biofuels,Terajoule,32921
2012,Slovakia,Inland consumption - calculated,Biogases,Terajoule,2594
2012,Slovakia,Inland consumption - calculated,Renewable municipal waste,Terajoule,775
2012,Finland,Inland consumption - calculated,Geothermal,Terajoule,0
2012,Finland,Inland consumption - calculated,Solar thermal,Terajoule,47
2012,Finland,Inland consumption - calculated,Primary solid biofuels,Terajoule,332358
