"TIME","GEO","SIEC","PLANT_TEC","UNIT","Value"
"2011","European Union - 27 countries (from 2020)","Hydro","Net maximum electrical capacity","Megawatt","144,343.333"
"2011","European Union - 27 countries (from 2020)","Wind","Net maximum electrical capacity","Megawatt","87,406.530"
"2011","European Union - 27 countries (from 2020)","Solar","Net maximum electrical capacity","Megawatt","53,287.109"
"2011","European Union - 27 countries (from 2020)","Solid biofuels","Net maximum electrical capacity","Megawatt","13,211.875"
"2011","Euro area - 19 countries  (from 2015)","Hydro","Net maximum electrical capacity","Megawatt","111,439.069"
"2011","Euro area - 19 countries  (from 2015)","Wind","Net maximum electrical capacity","Megawatt","76,687.549"
"2011","Euro area - 19 countries  (from 2015)","Solar","Net maximum electrical capacity","Megawatt","51,184.999"
"2011","Euro area - 19 countries  (from 2015)","Solid biofuels","Net maximum electrical capacity","Megawatt","7,939.227"
"2011","Belgium","Hydro","Net maximum electrical capacity","Megawatt","1,426.000"
"2011","Belgium","Wind","Net maximum electrical capacity","Megawatt","1,069.000"
"2011","Belgium","Solar","Net maximum electrical capacity","Megawatt","1,978.600"
"2011","Belgium","Solid biofuels","Net maximum electrical capacity","Megawatt","701.000"
"2011","Bulgaria","Hydro","Net maximum electrical capacity","Megawatt","3,108.000"
"2011","Bulgaria","Wind","Net maximum electrical capacity","Megawatt","541.000"
"2011","Bulgaria","Solar","Net maximum electrical capacity","Megawatt","154.000"
"2011","Bulgaria","Solid biofuels","Net maximum electrical capacity","Megawatt","6.000"
"2011","Czechia","Hydro","Net maximum electrical capacity","Megawatt","2,197.000"
"2011","Czechia","Wind","Net maximum electrical capacity","Megawatt","213.000"
"2011","Czechia","Solar","Net maximum electrical capacity","Megawatt","1,913.000"
"2011","Czechia","Solid biofuels","Net maximum electrical capacity","Megawatt","306.000"
"2011","Denmark","Hydro","Net maximum electrical capacity","Megawatt","9.264"
"2011","Denmark","Wind","Net maximum electrical capacity","Megawatt","3,951.981"
"2011","Denmark","Solar","Net maximum electrical capacity","Megawatt","17.000"
"2011","Denmark","Solid biofuels","Net maximum electrical capacity","Megawatt","920.648"
"2011","Germany (until 1990 former territory of the FRG)","Hydro","Net maximum electrical capacity","Megawatt","11,436.000"
"2011","Germany (until 1990 former territory of the FRG)","Wind","Net maximum electrical capacity","Megawatt","28,712.000"
"2011","Germany (until 1990 former territory of the FRG)","Solar","Net maximum electrical capacity","Megawatt","25,916.000"
"2011","Germany (until 1990 former territory of the FRG)","Solid biofuels","Net maximum electrical capacity","Megawatt","1,554.000"
"2011","Estonia","Hydro","Net maximum electrical capacity","Megawatt","5.000"
"2011","Estonia","Wind","Net maximum electrical capacity","Megawatt","180.000"
"2011","Estonia","Solar","Net maximum electrical capacity","Megawatt","0.000"
"2011","Estonia","Solid biofuels","Net maximum electrical capacity","Megawatt","145.000"
"2011","Ireland","Hydro","Net maximum electrical capacity","Megawatt","237.000"
"2011","Ireland","Wind","Net maximum electrical capacity","Megawatt","1,584.600"
"2011","Ireland","Solar","Net maximum electrical capacity","Megawatt","0.789"
"2011","Ireland","Solid biofuels","Net maximum electrical capacity","Megawatt","5.450"
"2011","Greece","Hydro","Net maximum electrical capacity","Megawatt","3,224.000"
"2011","Greece","Wind","Net maximum electrical capacity","Megawatt","1,640.000"
"2011","Greece","Solar","Net maximum electrical capacity","Megawatt","612.000"
"2011","Greece","Solid biofuels","Net maximum electrical capacity","Megawatt","0.000"
"2011","Spain","Hydro","Net maximum electrical capacity","Megawatt","18,540.000"
"2011","Spain","Wind","Net maximum electrical capacity","Megawatt","21,529.000"
"2011","Spain","Solar","Net maximum electrical capacity","Megawatt","5,432.000"
"2011","Spain","Solid biofuels","Net maximum electrical capacity","Megawatt","558.167"
"2011","France","Hydro","Net maximum electrical capacity","Megawatt","25,642.371"
"2011","France","Wind","Net maximum electrical capacity","Megawatt","6,758.016"
"2011","France","Solar","Net maximum electrical capacity","Megawatt","3,003.574"
"2011","France","Solid biofuels","Net maximum electrical capacity","Megawatt","330.062"
"2011","Croatia","Hydro","Net maximum electrical capacity","Megawatt","2,129.000"
"2011","Croatia","Wind","Net maximum electrical capacity","Megawatt","130.000"
"2011","Croatia","Solar","Net maximum electrical capacity","Megawatt","0.000"
"2011","Croatia","Solid biofuels","Net maximum electrical capacity","Megawatt","6.000"
"2011","Italy","Hydro","Net maximum electrical capacity","Megawatt","21,737.000"
"2011","Italy","Wind","Net maximum electrical capacity","Megawatt","6,918.000"
"2011","Italy","Solar","Net maximum electrical capacity","Megawatt","13,131.000"
"2011","Italy","Solid biofuels","Net maximum electrical capacity","Megawatt","421.000"
"2011","Cyprus","Hydro","Net maximum electrical capacity","Megawatt","0.000"
"2011","Cyprus","Wind","Net maximum electrical capacity","Megawatt","134.225"
"2011","Cyprus","Solar","Net maximum electrical capacity","Megawatt","10.000"
"2011","Cyprus","Solid biofuels","Net maximum electrical capacity","Megawatt","0.000"
"2011","Latvia","Hydro","Net maximum electrical capacity","Megawatt","1,576.000"
"2011","Latvia","Wind","Net maximum electrical capacity","Megawatt","36.000"
"2011","Latvia","Solar","Net maximum electrical capacity","Megawatt","0.000"
"2011","Latvia","Solid biofuels","Net maximum electrical capacity","Megawatt","5.000"
"2011","Lithuania","Hydro","Net maximum electrical capacity","Megawatt","876.000"
"2011","Lithuania","Wind","Net maximum electrical capacity","Megawatt","202.000"
"2011","Lithuania","Solar","Net maximum electrical capacity","Megawatt","0.000"
"2011","Lithuania","Solid biofuels","Net maximum electrical capacity","Megawatt","18.000"
"2011","Luxembourg","Hydro","Net maximum electrical capacity","Megawatt","1,134.308"
"2011","Luxembourg","Wind","Net maximum electrical capacity","Megawatt","44.527"
"2011","Luxembourg","Solar","Net maximum electrical capacity","Megawatt","40.666"
"2011","Luxembourg","Solid biofuels","Net maximum electrical capacity","Megawatt","0.000"
"2011","Hungary","Hydro","Net maximum electrical capacity","Megawatt","55.000"
"2011","Hungary","Wind","Net maximum electrical capacity","Megawatt","331.000"
"2011","Hungary","Solar","Net maximum electrical capacity","Megawatt","4.000"
"2011","Hungary","Solid biofuels","Net maximum electrical capacity","Megawatt","436.000"
"2011","Malta","Hydro","Net maximum electrical capacity","Megawatt","0.000"
"2011","Malta","Wind","Net maximum electrical capacity","Megawatt","0.000"
"2011","Malta","Solar","Net maximum electrical capacity","Megawatt","5.300"
"2011","Malta","Solid biofuels","Net maximum electrical capacity","Megawatt","0.000"
"2011","Netherlands","Hydro","Net maximum electrical capacity","Megawatt","37.000"
"2011","Netherlands","Wind","Net maximum electrical capacity","Megawatt","2,316.000"
"2011","Netherlands","Solar","Net maximum electrical capacity","Megawatt","149.000"
"2011","Netherlands","Solid biofuels","Net maximum electrical capacity","Megawatt","132.578"
"2011","Austria","Hydro","Net maximum electrical capacity","Megawatt","13,177.390"
"2011","Austria","Wind","Net maximum electrical capacity","Megawatt","1,105.966"
"2011","Austria","Solar","Net maximum electrical capacity","Megawatt","174.070"
"2011","Austria","Solid biofuels","Net maximum electrical capacity","Megawatt","1,627.970"
"2011","Poland","Hydro","Net maximum electrical capacity","Megawatt","2,346.000"
"2011","Poland","Wind","Net maximum electrical capacity","Megawatt","1,800.000"
"2011","Poland","Solar","Net maximum electrical capacity","Megawatt","1.110"
"2011","Poland","Solid biofuels","Net maximum electrical capacity","Megawatt","175.000"
"2011","Portugal","Hydro","Net maximum electrical capacity","Megawatt","5,535.000"
"2011","Portugal","Wind","Net maximum electrical capacity","Megawatt","4,256.215"
"2011","Portugal","Solar","Net maximum electrical capacity","Megawatt","172.000"
"2011","Portugal","Solid biofuels","Net maximum electrical capacity","Megawatt","478.000"
"2011","Romania","Hydro","Net maximum electrical capacity","Megawatt","6,483.000"
"2011","Romania","Wind","Net maximum electrical capacity","Megawatt","988.000"
"2011","Romania","Solar","Net maximum electrical capacity","Megawatt","1.000"
"2011","Romania","Solid biofuels","Net maximum electrical capacity","Megawatt","26.000"
