TIME,GEO,SIEC,PLANT_TEC,UNIT,Value
2011,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144343.33
2011,European Union - 27 countries (from 2020),Wind,Net maximum electrical capacity,Megawatt,87406.53
2011,European Union - 27 countries (from 2020),Solar,Net maximum electrical capacity,Megawatt,53287.11
2011,European Union - 27 countries (from 2020),Solid Biofuels,Net maximum electrical capacity,Megawatt,13211.88
2011,Euro area - 19 countries  (from 2015),Hydro,Net maximum electrical capacity,Megawatt,111439.07
2011,Euro area - 19 countries  (from 2015),Wind,Net maximum electrical capacity,Megawatt,76687.55
2011,Euro area - 19 countries  (from 2015),Solar,Net maximum electrical capacity,Megawatt,51185.00
2011,Euro area - 19 countries  (from 2015),Solid Biofuels,Net maximum electrical capacity,Megawatt,7939.23
2011,Belgium,Hydro,Net maximum electrical capacity,Megawatt,1426.00
2011,Belgium,Wind,Net maximum electrical capacity,Megawatt,1069.00
2011,Belgium,Solar,Net maximum electrical capacity,Megawatt,1978.60
2011,Belgium,Solid Biofuels,Net maximum electrical capacity,Megawatt,701.00
2011,Bulgaria,Hydro,Net maximum electrical capacity,Megawatt,3108.00
2011,Bulgaria,Wind,Net maximum electrical capacity,Megawatt,541.00
2011,Bulgaria,Solar,Net maximum electrical capacity,Megawatt,154.00
2011,Bulgaria,Solid Biofuels,Net maximum electrical capacity,Megawatt,6.00
2011,Czechia,Hydro,Net maximum electrical capacity,Megawatt,2197.00
2011,Czechia,Wind,Net maximum electrical capacity,Megawatt,213.00
2011,Czechia,Solar,Net maximum electrical capacity,Megawatt,1913.00
2011,Czechia,Solid Biofuels,Net maximum electrical capacity,Megawatt,306.00
2011,Denmark,Hydro,Net maximum electrical capacity,Megawatt,9.26
2011,Denmark,Wind,Net maximum electrical capacity,Megawatt,3951.98
2011,Denmark,Solar,Net maximum electrical capacity,Megawatt,17.00
2011,Denmark,Solid Biofuels,Net maximum electrical capacity,Megawatt,920.65
2011,Germany,Hydro,Net maximum electrical capacity,Megawatt,11436.00
2011,Germany,Wind,Net maximum electrical capacity,Megawatt,28712.00
2011,Germany,Solar,Net maximum electrical capacity,Megawatt,25916.00
2011,Germany,Solid Biofuels,Net maximum electrical capacity,Megawatt,1554.00
2011,Estonia,Hydro,Net maximum electrical capacity,Megawatt,5.00
2011,Estonia,Wind,Net maximum electrical capacity,Megawatt,180.00
