TIME,GEO,SIEC,PLANT_TEC,UNIT,Value,rank
2011,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144343.33,0
2011,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144343.33,1
2011,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144343.33,2
2011,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144343.33,3
2011,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144343.33,4
2011,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144343.33,5
2011,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144343.33,6
2011,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144343.33,7
2011,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144343.33,8
2011,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144343.33,9
2011,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144343.33,10
2011,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144343.33,11
2011,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144343.33,12
2011,European Union - 27 countries (from 2020),Hydro,Net maximum electrical capacity,Megawatt,144343.33,13
2011,European Union - 27 countries (from 2020),Wind,Net maximum electrical capacity,Megawatt,87406.53,0
2011,European Union - 27 countries (from 2020),Wind,Net maximum electrical capacity,Megawatt,87406.53,1
2011,European Union - 27 countries (from 2020),Wind,Net maximum electrical capacity,Megawatt,87406.53,2
2011,European Union - 27 countries (from 2020),Wind,Net maximum electrical capacity,Megawatt,87406.53,3
2011,European Union - 27 countries (from 2020),Wind,Net maximum electrical capacity,Megawatt,87406.53,4
2011,European Union - 27 countries (from 2020),Wind,Net maximum electrical capacity,Megawatt,87406.53,5
2011,European Union - 27 countries (from 2020),Wind,Net maximum electrical capacity,Megawatt,87406.53,6
2011,European Union - 27 countries (from 2020),Wind,Net maximum electrical capacity,Megawatt,87406.53,7
2011,European Union - 27 countries (from 2020),Solar,Net maximum electrical capacity,Megawatt,53287.11,0
2011,European Union - 27 countries (from 2020),Solar,Net maximum electrical capacity,Megawatt,53287.11,1
2011,European Union - 27 countries (from 2020),Solar,Net maximum electrical capacity,Megawatt,53287.11,2
2011,European Union - 27 countries (from 2020),Solar,Net maximum electrical capacity,Megawatt,53287.11,3
2011,European Union - 27 countries (from 2020),Solar,Net maximum electrical capacity,Megawatt,53287.11,4
2011,European Union - 27 countries (from 2020),Solid Biofuels,Net maximum electrical capacity,Megawatt,13211.88,0
2011,Euro area - 19 countries  (from 2015),Hydro,Net maximum electrical capacity,Megawatt,111439.07,0
2011,Euro area - 19 countries  (from 2015),Hydro,Net maximum electrical capacity,Megawatt,111439.07,1
2011,Euro area - 19 countries  (from 2015),Hydro,Net maximum electrical capacity,Megawatt,111439.07,2
2011,Euro area - 19 countries  (from 2015),Hydro,Net maximum electrical capacity,Megawatt,111439.07,3
2011,Euro area - 19 countries  (from 2015),Hydro,Net maximum electrical capacity,Megawatt,111439.07,4
2011,Euro area - 19 countries  (from 2015),Hydro,Net maximum electrical capacity,Megawatt,111439.07,5
2011,Euro area - 19 countries  (from 2015),Hydro,Net maximum electrical capacity,Megawatt,111439.07,6
2011,Euro area - 19 countries  (from 2015),Hydro,Net maximum electrical capacity,Megawatt,111439.07,7
2011,Euro area - 19 countries  (from 2015),Hydro,Net maximum electrical capacity,Megawatt,111439.07,8
2011,Euro area - 19 countries  (from 2015),Hydro,Net maximum electrical capacity,Megawatt,111439.07,9
2011,Euro area - 19 countries  (from 2015),Hydro,Net maximum electrical capacity,Megawatt,111439.07,10
2011,Euro area - 19 countries  (from 2015),Wind,Net maximum electrical capacity,Megawatt,76687.55,0
2011,Euro area - 19 countries  (from 2015),Wind,Net maximum electrical capacity,Megawatt,76687.55,1
2011,Euro area - 19 countries  (from 2015),Wind,Net maximum electrical capacity,Megawatt,76687.55,2
2011,Euro area - 19 countries  (from 2015),Wind,Net maximum electrical capacity,Megawatt,76687.55,3
2011,Euro area - 19 countries  (from 2015),Wind,Net maximum electrical capacity,Megawatt,76687.55,4
2011,Euro area - 19 countries  (from 2015),Wind,Net maximum electrical capacity,Megawatt,76687.55,5
2011,Euro area - 19 countries  (from 2015),Wind,Net maximum electrical capacity,Megawatt,76687.55,6
2011,Euro area - 19 countries  (from 2015),Solar,Net maximum electrical capacity,Megawatt,51185,0
2011,Euro area - 19 countries  (from 2015),Solar,Net maximum electrical capacity,Megawatt,51185,1
2011,Euro area - 19 countries  (from 2015),Solar,Net maximum electrical capacity,Megawatt,51185,2
2011,Euro area - 19 countries  (from 2015),Solar,Net maximum electrical capacity,Megawatt,51185,3
