TIME,GEO,PLANT_TEC,HP_TECH,UNIT,Value
2011,European Union - 27 countries (from 2020),Installed thermal capacity,Aerothermal,Megawatt,31355.90
2011,European Union - 27 countries (from 2020),Installed thermal capacity,Geothermal,Megawatt,10884.04
2011,European Union - 27 countries (from 2020),Installed thermal capacity,Hydrothermal,Megawatt,780.41
2011,Euro area - 19 countries  (from 2015),Installed thermal capacity,Aerothermal,Megawatt,27687.91
2011,Euro area - 19 countries  (from 2015),Installed thermal capacity,Geothermal,Megawatt,5238.53
2011,Euro area - 19 countries  (from 2015),Installed thermal capacity,Hydrothermal,Megawatt,730.98
2011,Belgium,Installed thermal capacity,Aerothermal,Megawatt,0.00
2011,Belgium,Installed thermal capacity,Geothermal,Megawatt,0.00
2011,Belgium,Installed thermal capacity,Hydrothermal,Megawatt,0.00
2011,Bulgaria,Installed thermal capacity,Aerothermal,Megawatt,0.00
2011,Bulgaria,Installed thermal capacity,Geothermal,Megawatt,0.00
2011,Bulgaria,Installed thermal capacity,Hydrothermal,Megawatt,0.00
2011,Czechia,Installed thermal capacity,Aerothermal,Megawatt,328.34
2011,Czechia,Installed thermal capacity,Geothermal,Megawatt,165.03
2011,Czechia,Installed thermal capacity,Hydrothermal,Megawatt,22.21
2011,Denmark,Installed thermal capacity,Aerothermal,Megawatt,0.00
2011,Denmark,Installed thermal capacity,Geothermal,Megawatt,0.00
2011,Denmark,Installed thermal capacity,Hydrothermal,Megawatt,0.00
2011,Germany,Installed thermal capacity,Aerothermal,Megawatt,2507.41
2011,Germany,Installed thermal capacity,Geothermal,Megawatt,2396.66
2011,Germany,Installed thermal capacity,Hydrothermal,Megawatt,536.83
2011,Estonia,Installed thermal capacity,Aerothermal,Megawatt,0.00
2011,Estonia,Installed thermal capacity,Geothermal,Megawatt,0.00
2011,Estonia,Installed thermal capacity,Hydrothermal,Megawatt,0.00
2011,Ireland,Installed thermal capacity,Aerothermal,Megawatt,0.00
2011,Ireland,Installed thermal capacity,Geothermal,Megawatt,0.00
2011,Ireland,Installed thermal capacity,Hydrothermal,Megawatt,0.00
2011,Greece,Installed thermal capacity,Aerothermal,Megawatt,0.00
2011,Greece,Installed thermal capacity,Geothermal,Megawatt,0.00
2011,Greece,Installed thermal capacity,Hydrothermal,Megawatt,0.00
2011,Spain,Installed thermal capacity,Aerothermal,Megawatt,0.00
2011,Spain,Installed thermal capacity,Geothermal,Megawatt,0.00
2011,Spain,Installed thermal capacity,Hydrothermal,Megawatt,0.00
2011,France,Installed thermal capacity,Aerothermal,Megawatt,24767.76
2011,France,Installed thermal capacity,Geothermal,Megawatt,1963.03
2011,France,Installed thermal capacity,Hydrothermal,Megawatt,0.00
2011,Croatia,Installed thermal capacity,Aerothermal,Megawatt,0.00
2011,Croatia,Installed thermal capacity,Geothermal,Megawatt,0.00
2011,Croatia,Installed thermal capacity,Hydrothermal,Megawatt,0.00
2011,Italy,Installed thermal capacity,Aerothermal,Megawatt,0.00
2011,Italy,Installed thermal capacity,Geothermal,Megawatt,0.00
2011,Italy,Installed thermal capacity,Hydrothermal,Megawatt,0.00
2011,Cyprus,Installed thermal capacity,Aerothermal,Megawatt,0.00
2011,Cyprus,Installed thermal capacity,Geothermal,Megawatt,0.00
2011,Cyprus,Installed thermal capacity,Hydrothermal,Megawatt,0.00
2011,Latvia,Installed thermal capacity,Aerothermal,Megawatt,0.00
2011,Latvia,Installed thermal capacity,Geothermal,Megawatt,0.00
2011,Latvia,Installed thermal capacity,Hydrothermal,Megawatt,0.00
2011,Lithuania,Installed thermal capacity,Aerothermal,Megawatt,0.00
2011,Lithuania,Installed thermal capacity,Geothermal,Megawatt,0.00
2011,Lithuania,Installed thermal capacity,Hydrothermal,Megawatt,0.00
2011,Luxembourg,Installed thermal capacity,Aerothermal,Megawatt,2.95
2011,Luxembourg,Installed thermal capacity,Geothermal,Megawatt,0.63
2011,Luxembourg,Installed thermal capacity,Hydrothermal,Megawatt,0.00
2011,Hungary,Installed thermal capacity,Aerothermal,Megawatt,0.00
2011,Hungary,Installed thermal capacity,Geothermal,Megawatt,0.00
2011,Hungary,Installed thermal capacity,Hydrothermal,Megawatt,0.00
2011,Malta,Installed thermal capacity,Aerothermal,Megawatt,0.00
2011,Malta,Installed thermal capacity,Geothermal,Megawatt,0.00
2011,Malta,Installed thermal capacity,Hydrothermal,Megawatt,0.00
2011,Netherlands,Installed thermal capacity,Aerothermal,Megawatt,0.00
2011,Netherlands,Installed thermal capacity,Geothermal,Megawatt,0.00
2011,Netherlands,Installed thermal capacity,Hydrothermal,Megawatt,0.00
2011,Austria,Installed thermal capacity,Aerothermal,Megawatt,409.79
2011,Austria,Installed thermal capacity,Geothermal,Megawatt,878.21
2011,Austria,Installed thermal capacity,Hydrothermal,Megawatt,194.14
2011,Poland,Installed thermal capacity,Aerothermal,Megawatt,59.65
2011,Poland,Installed thermal capacity,Geothermal,Megawatt,300.48
2011,Poland,Installed thermal capacity,Hydrothermal,Megawatt,27.23
2011,Portugal,Installed thermal capacity,Aerothermal,Megawatt,0.00
