"TIME","GEO","SIEC","PLANT_TEC","UNIT","Value"
"2011","European Union - 27 countries (from 2020)","Pure biogasoline","Production capacity","Thousand tonnes per year","4,185.008"
"2011","European Union - 27 countries (from 2020)","Pure biodiesels","Production capacity","Thousand tonnes per year","21,161.491"
"2011","European Union - 27 countries (from 2020)","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","1.000"
"2011","European Union - 27 countries (from 2020)","Other liquid biofuels","Production capacity","Thousand tonnes per year","3,105.137"
"2011","Euro area - 19 countries  (from 2015)","Pure biogasoline","Production capacity","Thousand tonnes per year","3,328.795"
"2011","Euro area - 19 countries  (from 2015)","Pure biodiesels","Production capacity","Thousand tonnes per year","19,522.306"
"2011","Euro area - 19 countries  (from 2015)","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","1.000"
"2011","Euro area - 19 countries  (from 2015)","Other liquid biofuels","Production capacity","Thousand tonnes per year","2,972.158"
"2011","Belgium","Pure biogasoline","Production capacity","Thousand tonnes per year","369.000"
"2011","Belgium","Pure biodiesels","Production capacity","Thousand tonnes per year","665.000"
"2011","Belgium","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","Belgium","Other liquid biofuels","Production capacity","Thousand tonnes per year","340.000"
"2011","Bulgaria","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000"
"2011","Bulgaria","Pure biodiesels","Production capacity","Thousand tonnes per year","93.738"
"2011","Bulgaria","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","Bulgaria","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000"
"2011","Czechia","Pure biogasoline","Production capacity","Thousand tonnes per year","160.000"
"2011","Czechia","Pure biodiesels","Production capacity","Thousand tonnes per year","420.000"
"2011","Czechia","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","Czechia","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000"
"2011","Denmark","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000"
"2011","Denmark","Pure biodiesels","Production capacity","Thousand tonnes per year","0.000"
"2011","Denmark","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","Denmark","Other liquid biofuels","Production capacity","Thousand tonnes per year","42.134"
"2011","Germany (until 1990 former territory of the FRG)","Pure biogasoline","Production capacity","Thousand tonnes per year","679.000"
"2011","Germany (until 1990 former territory of the FRG)","Pure biodiesels","Production capacity","Thousand tonnes per year","4,494.000"
"2011","Germany (until 1990 former territory of the FRG)","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","Germany (until 1990 former territory of the FRG)","Other liquid biofuels","Production capacity","Thousand tonnes per year","1,954.000"
"2011","Estonia","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000"
"2011","Estonia","Pure biodiesels","Production capacity","Thousand tonnes per year","0.000"
"2011","Estonia","Pure bio jet kerosene","Production capacity","Thousand tonnes per year","0.000"
"2011","Estonia","Other liquid biofuels","Production capacity","Thousand tonnes per year","0.000"
"2011","Ireland","Pure biogasoline","Production capacity","Thousand tonnes per year","0.000"
"2011","Ireland","Pure biodiesels","Production capacity","Thousand tonnes per year","34.320"
