TIME,GEO,SIEC,PLANT_TEC,UNIT,Value
2011,European Union - 27 countries (from 2020),Pure biogasoline,Production capacity,Thousand tonnes per year,4185.01
2011,European Union - 27 countries (from 2020),Pure biodiesels,Production capacity,Thousand tonnes per year,21161.49
2011,European Union - 27 countries (from 2020),Pure bio jet kerosene,Production capacity,Thousand tonnes per year,1.00
2011,European Union - 27 countries (from 2020),Other liquid biofuels,Production capacity,Thousand tonnes per year,3105.14
2011,Euro area - 19 countries  (from 2015),Pure biogasoline,Production capacity,Thousand tonnes per year,3328.80
2011,Euro area - 19 countries  (from 2015),Pure biodiesels,Production capacity,Thousand tonnes per year,19522.31
2011,Euro area - 19 countries  (from 2015),Pure bio jet kerosene,Production capacity,Thousand tonnes per year,1.00
2011,Euro area - 19 countries  (from 2015),Other liquid biofuels,Production capacity,Thousand tonnes per year,2972.16
2011,Belgium,Pure biogasoline,Production capacity,Thousand tonnes per year,369.00
2011,Belgium,Pure biodiesels,Production capacity,Thousand tonnes per year,665.00
2011,Belgium,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2011,Belgium,Other liquid biofuels,Production capacity,Thousand tonnes per year,340.00
2011,Bulgaria,Pure biogasoline,Production capacity,Thousand tonnes per year,0.00
2011,Bulgaria,Pure biodiesels,Production capacity,Thousand tonnes per year,93.74
2011,Bulgaria,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2011,Bulgaria,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2011,Czechia,Pure biogasoline,Production capacity,Thousand tonnes per year,160.00
2011,Czechia,Pure biodiesels,Production capacity,Thousand tonnes per year,420.00
2011,Czechia,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2011,Czechia,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2011,Denmark,Pure biogasoline,Production capacity,Thousand tonnes per year,0.00
2011,Denmark,Pure biodiesels,Production capacity,Thousand tonnes per year,0.00
2011,Denmark,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2011,Denmark,Other liquid biofuels,Production capacity,Thousand tonnes per year,42.13
2011,Germany,Pure biogasoline,Production capacity,Thousand tonnes per year,679.00
2011,Germany,Pure biodiesels,Production capacity,Thousand tonnes per year,4494.00
2011,Germany,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2011,Germany,Other liquid biofuels,Production capacity,Thousand tonnes per year,1954.00
2011,Estonia,Pure biogasoline,Production capacity,Thousand tonnes per year,0.00
2011,Estonia,Pure biodiesels,Production capacity,Thousand tonnes per year,0.00
2011,Estonia,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2011,Estonia,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2011,Ireland,Pure biogasoline,Production capacity,Thousand tonnes per year,0.00
2011,Ireland,Pure biodiesels,Production capacity,Thousand tonnes per year,34.32
2011,Ireland,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2011,Ireland,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2011,Greece,Pure biogasoline,Production capacity,Thousand tonnes per year,0.00
2011,Greece,Pure biodiesels,Production capacity,Thousand tonnes per year,746.81
2011,Greece,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2011,Greece,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2011,Spain,Pure biogasoline,Production capacity,Thousand tonnes per year,464.00
2011,Spain,Pure biodiesels,Production capacity,Thousand tonnes per year,4341.00
2011,Spain,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2011,Spain,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2011,France,Pure biogasoline,Production capacity,Thousand tonnes per year,1091.80
2011,France,Pure biodiesels,Production capacity,Thousand tonnes per year,2759.96
2011,France,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2011,France,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2011,Croatia,Pure biogasoline,Production capacity,Thousand tonnes per year,0.00
2011,Croatia,Pure biodiesels,Production capacity,Thousand tonnes per year,64.00
2011,Croatia,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
2011,Croatia,Other liquid biofuels,Production capacity,Thousand tonnes per year,0.00
2011,Italy,Pure biogasoline,Production capacity,Thousand tonnes per year,332.00
2011,Italy,Pure biodiesels,Production capacity,Thousand tonnes per year,2212.19
2011,Italy,Pure bio jet kerosene,Production capacity,Thousand tonnes per year,0.00
