"TIME","GEO","PLANT_TEC","UNIT","Value"
"2012","European Union - 27 countries (from 2020)","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","2,110.640"
"2012","European Union - 27 countries (from 2020)","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","166.400"
"2012","European Union - 27 countries (from 2020)","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","1,023.000"
"2012","Euro area - 19 countries  (from 2015)","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","1,457.100"
"2012","Euro area - 19 countries  (from 2015)","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","166.400"
"2012","Euro area - 19 countries  (from 2015)","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","1,023.000"
"2012","Belgium","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","29.000"
"2012","Belgium","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","16.400"
"2012","Belgium","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
"2012","Bulgaria","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Bulgaria","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Bulgaria","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Czechia","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2012","Czechia","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2012","Czechia","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
"2012","Denmark","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2012","Denmark","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2012","Denmark","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
"2012","Germany (until 1990 former territory of the FRG)","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","396.700"
"2012","Germany (until 1990 former territory of the FRG)","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Germany (until 1990 former territory of the FRG)","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Estonia","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2012","Estonia","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2012","Estonia","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
"2012","Ireland","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Ireland","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Ireland","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Greece","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2012","Greece","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2012","Greece","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
"2012","Spain","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","357.400"
"2012","Spain","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Spain","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","France","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","674.000"
"2012","France","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","150.000"
"2012","France","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","1,023.000"
"2012","Croatia","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2012","Croatia","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2012","Croatia","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
"2012","Italy","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Italy","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Italy","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Cyprus","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2012","Cyprus","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2012","Cyprus","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
"2012","Latvia","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Latvia","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Latvia","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Lithuania","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Lithuania","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Lithuania","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Luxembourg","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Luxembourg","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Luxembourg","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Hungary","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Hungary","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Hungary","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Malta","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Malta","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Malta","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Netherlands","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Netherlands","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Netherlands","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Austria","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Austria","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Austria","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Poland","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Poland","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Poland","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Portugal","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Portugal","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Portugal","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Romania","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","194.540"
"2012","Romania","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Romania","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Slovenia","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Slovenia","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Slovenia","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Slovakia","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Slovakia","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Slovakia","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Finland","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Finland","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Finland","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Sweden","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","459.000"
"2012","Sweden","Production of MOX fuel elements (tHM)","Tonnes of heavy metal",":"
"2012","Sweden","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal",":"
"2012","Iceland","Production of fresh fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2012","Iceland","Production of MOX fuel elements (tHM)","Tonnes of heavy metal","0.000"
"2012","Iceland","Production of uranium and plutonium in reprocessing plants (tHM)","Tonnes of heavy metal","0.000"
"2012","Liechtenstein","Production of fresh fuel elements (tHM)","Tonnes of heavy metal",":"
