Time,GEO,Plant_Tec,Unit,Value,Latitude,Longitude
2012,Belgium,Production of fresh fuel elements (tHM),Tonnes of heavy metal,29,50.5039,4.4699
2012,Belgium,Production of MOX fuel elements (tHM),Tonnes of heavy metal,16.4,50.5039,4.4699
2012,Belgium,Production of uranium and plutonium in reprocessing plants (tHM),Tonnes of heavy metal,0,50.5039,4.4699
2012,Bulgaria,Production of fresh fuel elements (tHM),Tonnes of heavy metal,,42.7339,25.4858
2012,Bulgaria,Production of MOX fuel elements (tHM),Tonnes of heavy metal,,42.7339,25.4858
2012,Bulgaria,Production of uranium and plutonium in reprocessing plants (tHM),Tonnes of heavy metal,,42.7339,25.4858
2012,Czechia,Production of fresh fuel elements (tHM),Tonnes of heavy metal,0,49.817492,15.472962
2012,Czechia,Production of MOX fuel elements (tHM),Tonnes of heavy metal,0,49.817492,15.472962
2012,Czechia,Production of uranium and plutonium in reprocessing plants (tHM),Tonnes of heavy metal,0,49.817492,15.472962
2012,Denmark,Production of fresh fuel elements (tHM),Tonnes of heavy metal,0,56.2639,9.5018
2012,Denmark,Production of MOX fuel elements (tHM),Tonnes of heavy metal,0,56.2639,9.5018
2012,Denmark,Production of uranium and plutonium in reprocessing plants (tHM),Tonnes of heavy metal,0,56.2639,9.5018
2012,Germany,Production of fresh fuel elements (tHM),Tonnes of heavy metal,396.7,51.1657,10.4515
2012,Germany,Production of MOX fuel elements (tHM),Tonnes of heavy metal,,51.1657,10.4515
2012,Germany,Production of uranium and plutonium in reprocessing plants (tHM),Tonnes of heavy metal,,51.1657,10.4515
2012,Estonia,Production of fresh fuel elements (tHM),Tonnes of heavy metal,0,58.5953,25.0136
2012,Estonia,Production of MOX fuel elements (tHM),Tonnes of heavy metal,0,58.5953,25.0136
2012,Estonia,Production of uranium and plutonium in reprocessing plants (tHM),Tonnes of heavy metal,0,58.5953,25.0136
2012,Ireland,Production of fresh fuel elements (tHM),Tonnes of heavy metal,,53.4129,-8.2439
2012,Ireland,Production of MOX fuel elements (tHM),Tonnes of heavy metal,,53.4129,-8.2439
2012,Ireland,Production of uranium and plutonium in reprocessing plants (tHM),Tonnes of heavy metal,,53.4129,-8.2439
2012,Greece,Production of fresh fuel elements (tHM),Tonnes of heavy metal,0,39.0742,21.8243
2012,Greece,Production of MOX fuel elements (tHM),Tonnes of heavy metal,0,39.0742,21.8243
2012,Greece,Production of uranium and plutonium in reprocessing plants (tHM),Tonnes of heavy metal,0,39.0742,21.8243
2012,Spain,Production of fresh fuel elements (tHM),Tonnes of heavy metal,357.4,40.4637,-3.7492
2012,Spain,Production of MOX fuel elements (tHM),Tonnes of heavy metal,,40.4637,-3.7492
2012,Spain,Production of uranium and plutonium in reprocessing plants (tHM),Tonnes of heavy metal,,40.4637,-3.7492
2012,France,Production of fresh fuel elements (tHM),Tonnes of heavy metal,674,46.2276,2.2137
2012,France,Production of MOX fuel elements (tHM),Tonnes of heavy metal,150,46.2276,2.2137
2012,France,Production of uranium and plutonium in reprocessing plants (tHM),Tonnes of heavy metal,1023,46.2276,2.2137
2012,Croatia,Production of fresh fuel elements (tHM),Tonnes of heavy metal,0,45.1,15.2
2012,Croatia,Production of MOX fuel elements (tHM),Tonnes of heavy metal,0,45.1,15.2
2012,Croatia,Production of uranium and plutonium in reprocessing plants (tHM),Tonnes of heavy metal,0,45.1,15.2
2012,Italy,Production of fresh fuel elements (tHM),Tonnes of heavy metal,,41.8719,12.5674
2012,Italy,Production of MOX fuel elements (tHM),Tonnes of heavy metal,,41.8719,12.5674
2012,Italy,Production of uranium and plutonium in reprocessing plants (tHM),Tonnes of heavy metal,,41.8719,12.5674
2012,Cyprus,Production of fresh fuel elements (tHM),Tonnes of heavy metal,0,35.1264,33.4299
2012,Cyprus,Production of MOX fuel elements (tHM),Tonnes of heavy metal,0,35.1264,33.4299
