Continent,Year,Source,Value
Africa,1965,Fossil,2100.505
Africa,1965,Nuclear,0
Africa,1965,Renewables,127.91771
Africa,1966,Fossil,2136.364
Africa,1966,Nuclear,0
Africa,1966,Renewables,139.12254
Africa,1967,Fossil,2099.7725
Africa,1967,Nuclear,0
Africa,1967,Renewables,141.5766
Africa,1968,Fossil,2145.9302
Africa,1968,Nuclear,0
Africa,1968,Renewables,161.39375
Africa,1969,Fossil,2126.871
Africa,1969,Nuclear,0
Africa,1969,Renewables,183.53688
Africa,1970,Fossil,2220.0889
Africa,1970,Nuclear,0
Africa,1970,Renewables,223.56758
Africa,1971,Fossil,2334.7239
Africa,1971,Nuclear,0
Africa,1971,Renewables,206.47203
Africa,1972,Fossil,2389.0298
Africa,1972,Nuclear,0
Africa,1972,Renewables,229.00676
Africa,1973,Fossil,2525.8975
Africa,1973,Nuclear,0
Africa,1973,Renewables,235.90248
Africa,1974,Fossil,2560.9014
Africa,1974,Nuclear,0
Africa,1974,Renewables,261.10275
Africa,1975,Fossil,2640.0945
Africa,1975,Nuclear,0
Africa,1975,Renewables,268.4201
Africa,1976,Fossil,2780.9941
Africa,1976,Nuclear,0
Africa,1976,Renewables,289.09085
Africa,1977,Fossil,2841.5732
Africa,1977,Nuclear,0
Africa,1977,Renewables,308.83777
Africa,1978,Fossil,2877.135
Africa,1978,Nuclear,0
Africa,1978,Renewables,302.6684
Africa,1979,Fossil,3049.865
Africa,1979,Nuclear,0
Africa,1979,Renewables,314.55762
Africa,1980,Fossil,3215.9644
Africa,1980,Nuclear,0
Africa,1980,Renewables,298.0381
Africa,1981,Fossil,3530.2383
Africa,1981,Nuclear,0
Africa,1981,Renewables,300.8455
Africa,1982,Fossil,3671.4834
Africa,1982,Nuclear,0
Africa,1982,Renewables,292.26404
Africa,1983,Fossil,3710.4407
Africa,1983,Nuclear,0
Africa,1983,Renewables,256.08322
Africa,1984,Fossil,3711.4023
Africa,1984,Nuclear,20.617537
Africa,1984,Renewables,244.92314
Africa,1985,Fossil,3731.3445
Africa,1985,Nuclear,27.141745
Africa,1985,Renewables,264.69916
Africa,1986,Fossil,3678.9912
Africa,1986,Nuclear,43.69594
Africa,1986,Renewables,268.0142
Africa,1987,Fossil,3724.4321
Africa,1987,Nuclear,29.756077
Africa,1987,Renewables,250.02135
Africa,1988,Fossil,3855.0076
Africa,1988,Nuclear,49.25306
Africa,1988,Renewables,265.27042
Africa,1989,Fossil,3742.3813
Africa,1989,Nuclear,50.70058
Africa,1989,Renewables,270.88193
Africa,1990,Fossil,3779.73
Africa,1990,Nuclear,37.56778
