Entity,Year,Renewable electricity per capita (kWh)
Africa,1971,69.790306
Africa,1972,77.411835
Africa,1973,79.74371
Africa,1974,88.26593
Africa,1975,90.742035
Africa,1976,97.731026
Africa,1977,104.409294
Africa,1978,102.32282
Africa,1979,106.3435
Africa,1980,100.75688
Africa,1981,101.70549
Africa,1982,98.80161
Africa,1983,86.56787
Africa,1984,82.7941
Africa,1985,89.47794
Africa,1986,90.62304
Africa,1987,84.5369
Africa,1988,89.691345
Africa,1989,91.590706
Africa,1990,90.98131
Africa,1991,93.84641
Africa,1992,87.38124
Africa,1993,83.63156
Africa,1994,82.73049
Africa,1995,83.94444
Africa,1996,85.61441
Africa,1997,85.72512
Africa,1998,87.685585
Africa,1999,90.61929
Africa,2000,94.486565
Africa,2001,100.45695
Africa,2002,100.4518
Africa,2003,96.42437
Africa,2004,100.090454
Africa,2005,100.603676
Africa,2006,101.319626
Africa,2007,101.08946
Africa,2008,100.530785
Africa,2009,101.84784
Africa,2010,110.66743
Africa,2011,109.15546
Africa,2012,106.76114
Africa,2013,110.0878
Africa,2014,116.0985
Africa,2015,116.525734
Africa,2016,115.728134
Africa,2017,120.411545
Africa,2018,128.3984
Africa,2019,133.28297
Africa,2020,134.49184
Africa,2021,137.8512
Africa,2022,145.42581
Asia,1965,75.20313
Asia,1966,76.57327
Asia,1967,69.91367
Asia,1968,75.85824
Asia,1969,76.83281
Asia,1970,76.87517
Asia,1971,82.133736
Asia,1972,83.049934
Asia,1973,75.51789
Asia,1974,84.16385
Asia,1975,88.85259
Asia,1976,89.58552
Asia,1977,86.42911
Asia,1978,89.41486
Asia,1979,95.19795
Asia,1980,100.52582
Asia,1981,105.72715
Asia,1982,105.79485
Asia,1983,109.01089
Asia,1984,107.67241
Asia,1985,124.36212
Asia,1986,123.08327
Asia,1987,124.85897
Asia,1988,140.20023
Asia,1989,141.06685
Asia,1990,144.22368
Asia,1991,143.28754
Asia,1992,141.99364
Asia,1993,154.62433
Asia,1994,152.24686
Asia,1995,162.84402
Asia,1996,159.56396
Asia,1997,157.80229
Asia,1998,165.07803
Asia,1999,159.9434
Asia,2000,165.15533
Asia,2001,175.6677
Asia,2002,179.38359
Asia,2003,184.6208
Asia,2004,213.21144
Asia,2005,220.72313
Asia,2006,239.5754
Asia,2007,250.14981
Asia,2008,284.02603
Asia,2009,281.36285
Asia,2010,323.77167
Asia,2011,334.67892
Asia,2012,382.7048
Asia,2013,414.0965
Asia,2014,457.63208
Asia,2015,487.78558
Asia,2016,523.6405
Asia,2017,570.1333
Asia,2018,617.6469
Asia,2019,673.4866
Asia,2020,714.6618
Asia,2021,779.0755
Asia,2022,850.87744
Europe,1965,605.3997
Europe,1966,653.2928
Europe,1967,643.6182
Europe,1968,680.66943
Europe,1969,685.60175
Europe,1970,721.8529
Europe,1971,726.2242
Europe,1972,737.06085
Europe,1973,741.5627
Europe,1974,795.4736
Europe,1975,791.08704
Europe,1976,752.587
Europe,1977,881.4768
Europe,1978,908.86945
Europe,1979,941.4557
Europe,1980,933.51984
Europe,1981,939.8961
Europe,1982,909.64307
Europe,1983,938.225
Europe,1984,971.318
Europe,1985,934.3326
Europe,1986,914.9925
Europe,1987,959.6534
Europe,1988,993.23627
Europe,1989,902.2835
Europe,1990,922.109
Europe,1991,936.91534
Europe,1992,961.2283
Europe,1993,984.40106
Europe,1994,1002.29486
Europe,1995,1010.5472
Europe,1996,952.01447
Europe,1997,994.3893
Europe,1998,1039.1628
Europe,1999,1065.5269
Europe,2000,1095.2758
Europe,2001,1125.0918
Europe,2002,1049.207
Europe,2003,1016.6044
Europe,2004,1118.761
Europe,2005,1160.1846
Europe,2006,1171.5215
Europe,2007,1232.4519
Europe,2008,1295.2573
Europe,2009,1339.0107
Europe,2010,1438.8542
Europe,2011,1418.886
Europe,2012,1575.9047
Europe,2013,1715.5739
Europe,2014,1760.1537
Europe,2015,1798.4528
Europe,2016,1848.3547
Europe,2017,1865.4136
Europe,2018,1988.6075
Europe,2019,2037.186
Europe,2020,2225.449
Europe,2021,2266.1843
Europe,2022,2248.4277
North America,1971,1457.091
North America,1972,1521.065
North America,1973,1543.0659
North America,1974,1657.4764
North America,1975,1599.6034
North America,1976,1576.3486
North America,1977,1400.8997
North America,1978,1587.3772
North America,1979,1596.2395
North America,1980,1577.1642
North America,1981,1580.7433
North America,1982,1660.6001
North America,1983,1723.8931
North America,1984,1747.773
North America,1985,1679.9908
North America,1986,1694.6323
North America,1987,1593.1561
North America,1988,1492.4607
North America,1989,1572.3962
North America,1990,1625.0115
North America,1991,1621.146
North America,1992,1553.3942
North America,1993,1614.5356
North America,1994,1544.2617
North America,1995,1662.2362
North America,1996,1776.0474
North America,1997,1748.6997
North America,1998,1614.4895
North America,1999,1634.9613
North America,2000,1603.201
North America,2001,1378.2318
North America,2002,1505.4592
North America,2003,1483.416
North America,2004,1482.1688
North America,2005,1538.7931
North America,2006,1563.2549
North America,2007,1509.476
North America,2008,1590.5822
North America,2009,1611.927
North America,2010,1609.5303
North America,2011,1794.8395
North America,2012,1755.6407
North America,2013,1818.2107
North America,2014,1861.7412
North America,2015,1866.3772
North America,2016,1990.0406
North America,2017,2141.527
North America,2018,2165.587
North America,2019,2179.9602
North America,2020,2305.948
North America,2021,2381.3838
North America,2022,2528.2832
Oceania,1965,1098.9852
Oceania,1966,1101.1025
Oceania,1967,1105.3444
Oceania,1968,1141.6439
Oceania,1969,1152.8785
Oceania,1970,1251.2451
Oceania,1971,1369.4427
Oceania,1972,1384.4462
Oceania,1973,1388.9525
Oceania,1974,1488.2568
Oceania,1975,1585.4282
Oceania,1976,1475.278
Oceania,1977,1388.4712
Oceania,1978,1464.5327
Oceania,1979,1546.411
Oceania,1980,1535.1987
Oceania,1981,1542.3519
Oceania,1982,1419.187
Oceania,1983,1428.1749
Oceania,1984,1481.3425
Oceania,1985,1461.838
Oceania,1986,1542.3704
Oceania,1987,1496.1008
Oceania,1988,1550.7357
Oceania,1989,1529.348
Oceania,1990,1557.6173
Oceania,1991,1557.8013
Oceania,1992,1475.7601
Oceania,1993,1561.6094
Oceania,1994,1608.9154
Oceania,1995,1627.5455
Oceania,1996,1568.8145
Oceania,1997,1450.9424
Oceania,1998,1504.3762
Oceania,1999,1431.164
Oceania,2000,1494.0846
Oceania,2001,1395.872
Oceania,2002,1472.2152
Oceania,2003,1447.331
Oceania,2004,1564.6603
Oceania,2005,1468.3541
Oceania,2006,1498.1448
Oceania,2007,1484.6975
Oceania,2008,1375.293
Oceania,2009,1415.4174
Oceania,2010,1507.4208
Oceania,2011,1675.0388
Oceania,2012,1584.0029
Oceania,2013,1762.2609
Oceania,2014,1831.6439
Oceania,2015,1751.0796
Oceania,2016,1881.4517
Oceania,2017,1884.6282
Oceania,2018,1927.8312
Oceania,2019,2132.7
Oceania,2020,2311.4346
Oceania,2021,2471.6768
Oceania,2022,2875.4548
South America,1971,358.8651
South America,1972,398.04944
South America,1973,438.63052
South America,1974,493.35754
South America,1975,526.663
South America,1976,573.7116
South America,1977,624.2888
South America,1978,670.44354
South America,1979,744.21497
South America,1980,815.7436
South America,1981,806.14014
South America,1982,856.0377
South America,1983,903.7121
South America,1984,973.0409
South America,1985,1031.5593
South America,1986,1086.8145
South America,1987,1137.7164
South America,1988,1156.3661
South America,1989,1163.4501
South America,1990,1189.247
South America,1991,1249.6783
South America,1992,1258.167
South America,1993,1331.012
South America,1994,1390.7997
South America,1995,1418.46
South America,1996,1448.885
South America,1997,1509.8811
South America,1998,1518.7413
South America,1999,1495.8629
South America,2000,1535.0609
South America,2001,1425.4592
South America,2002,1476.9039
South America,2003,1525.2728
South America,2004,1563.8087
South America,2005,1635.9083
South America,2006,1692.2229
South America,2007,1739.604
South America,2008,1736.6635
South America,2009,1774.0093
South America,2010,1795.698
South America,2011,1890.2129
South America,2012,1844.1453
South America,2013,1809.5117
South America,2014,1729.6505
South America,2015,1750.7374
South America,2016,1804.7393
South America,2017,1846.2756
South America,2018,1908.1052
South America,2019,1894.8296
South America,2020,1911.7787
South America,2021,1890.0453
South America,2022,2160.4585
